rank,token,token_id,mean_logit_increase
1, struct,2036,8.429512023925781
2, XYZ,71089,8.377628326416016
3,賢,119085,8.341564178466797
4, figure,7071,8.240716934204102
5, '.',24361,8.129006385803223
6, graph,4771,8.089884757995605
7, reach,5545,8.065492630004883
8, perhaps,8365,8.059925079345703
9, funnel,60219,8.032232284545898
10, hence,16085,8.027076721191406
11, figures,12396,7.952325344085693
12, CSR,62976,7.881535530090332
13, view,1651,7.875331878662109
14, rever,35137,7.870750427246094
15, SOP,86507,7.857990741729736
16, RSA,45641,7.849095344543457
17, suit,7781,7.815980911254883
18," '-',",50349,7.743225574493408
19,‧,144492,7.729017734527588
20, infra,48176,7.701097011566162
21, leading,6388,7.699646472930908
22, segue,36770,7.628145217895508
23, mist,8600,7.625147819519043
24, tess,79830,7.619056701660156
25, imm,4893,7.614297389984131
26, ISS,36396,7.604190349578857
27, */),89855,7.595277786254883
28, bull,16811,7.594470500946045
29, DS,20578,7.581363201141357
30, tent,15632,7.579562187194824
31, sack,52333,7.554056167602539
32, indexes,24953,7.550826072692871
33, warrant,7091,7.5262980461120605
34, modulus,74024,7.520720958709717
35, underline,51874,7.5133562088012695
36, inf,4132,7.509518623352051
37, part,949,7.508164882659912
38, entail,85992,7.502983093261719
39, wise,23335,7.476337909698486
40, eighth,36377,7.445029258728027
41, ';',81954,7.443710803985596
42, reachable,68284,7.420258045196533
43, third,4843,7.417134761810303
44, fig,4144,7.406619071960449
45, DEA,74910,7.404332637786865
46, contr,6027,7.395571708679199
47, sag,29711,7.361762046813965
48, rather,4751,7.360590934753418
49, pig,23694,7.3589324951171875
50, node,2436,7.354216575622559
