rank,token,token_id,mean_logit_increase
1,賢,119085,8.500408172607422
2, XYZ,71089,8.406481742858887
3, struct,2036,8.352230072021484
4, '.',24361,8.203042030334473
5,‧,144492,8.160327911376953
6, reach,5545,8.132119178771973
7, figure,7071,8.033166885375977
8, funnel,60219,8.01220703125
9, CSR,62976,7.922420501708984
10, RSA,45641,7.89957857131958
11, graph,4771,7.8670573234558105
12, suit,7781,7.839723110198975
13, figures,12396,7.806091785430908
14, hence,16085,7.785405158996582
15, SOP,86507,7.728612422943115
16, rever,35137,7.723691940307617
17, perhaps,8365,7.719780445098877
18, mist,8600,7.712335109710693
19," '-',",50349,7.6901469230651855
20, ISS,36396,7.674071788787842
21, view,1651,7.673570156097412
22, infra,48176,7.65463924407959
23, leading,6388,7.604159355163574
24, tess,79830,7.572406768798828
25, eighth,36377,7.565503120422363
26, DS,20578,7.544285297393799
27, sack,52333,7.538864612579346
28, tent,15632,7.538328647613525
29, £,6938,7.5269856452941895
30, entail,85992,7.51118278503418
31, imm,4893,7.504652976989746
32, eight,8063,7.49173641204834
33, */),89855,7.490781784057617
34, bull,16811,7.490323066711426
35, inf,4132,7.48217248916626
36, reachable,68284,7.469888210296631
37, underline,51874,7.46495246887207
38, warrant,7091,7.460475444793701
39, part,949,7.452239513397217
40, Rihanna,95427,7.451576232910156
41, segue,36770,7.448643207550049
42, #####,68684,7.444378852844238
43, ???,51317,7.442849159240723
44, wise,23335,7.425457000732422
45, %-,50953,7.41365385055542
46, third,4843,7.412242412567139
47, .',43584,7.410135269165039
48, ill,5862,7.392674446105957
49, SA,16589,7.382618427276611
50, adverts,87725,7.367671966552734
