rank,token,token_id,mean_logit_increase
1, XYZ,71089,9.24901008605957
2, struct,2036,9.234336853027344
3,賢,119085,9.176090240478516
4, figure,7071,9.002289772033691
5, graph,4771,8.976824760437012
6, reach,5545,8.87610912322998
7, funnel,60219,8.832967758178711
8, CSR,62976,8.830673217773438
9, '.',24361,8.805462837219238
10, SOP,86507,8.794195175170898
11, perhaps,8365,8.773946762084961
12, RSA,45641,8.76660442352295
13, rever,35137,8.752598762512207
14, figures,12396,8.708008766174316
15, view,1651,8.655957221984863
16,‧,144492,8.643521308898926
17, hence,16085,8.614507675170898
18, suit,7781,8.55650806427002
19, ISS,36396,8.54816722869873
20, bull,16811,8.487632751464844
21, infra,48176,8.461227416992188
22, sack,52333,8.45902156829834
23, tess,79830,8.448469161987305
24," '-',",50349,8.4461030960083
25, segue,36770,8.443244934082031
26, mist,8600,8.43838119506836
27, DS,20578,8.423002243041992
28, */),89855,8.420373916625977
29, leading,6388,8.41836166381836
30, warrant,7091,8.355443000793457
31, imm,4893,8.350849151611328
32, DEA,74910,8.335517883300781
33, tent,15632,8.311564445495605
34, modulus,74024,8.288074493408203
35, wise,23335,8.272017478942871
36, part,949,8.244003295898438
37, indexes,24953,8.224183082580566
38, adverts,87725,8.218450546264648
39, entail,85992,8.205748558044434
40, refrain,57508,8.20260238647461
41, underline,51874,8.1923189163208
42, pig,23694,8.157391548156738
43, ';',81954,8.150484085083008
44, fig,4144,8.150395393371582
45, %-,50953,8.144779205322266
46, inf,4132,8.140205383300781
47, MSC,83513,8.134725570678711
48, pact,59721,8.133647918701172
49, SF,23463,8.130090713500977
50, .',43584,8.128344535827637
