rank,token,token_id,mean_logit_increase
1, struct,2036,8.886073112487793
2, XYZ,71089,8.80229377746582
3,賢,119085,8.77639102935791
4, figure,7071,8.603759765625
5, graph,4771,8.529422760009766
6, '.',24361,8.4932861328125
7, perhaps,8365,8.458000183105469
8, funnel,60219,8.39372444152832
9, reach,5545,8.373292922973633
10, hence,16085,8.367290496826172
11, CSR,62976,8.295437812805176
12, figures,12396,8.280963897705078
13, RSA,45641,8.278018951416016
14, SOP,86507,8.263803482055664
15, rever,35137,8.246885299682617
16, view,1651,8.150651931762695
17, suit,7781,8.113334655761719
18,‧,144492,8.104178428649902
19," '-',",50349,8.08972454071045
20, leading,6388,8.075581550598145
21, segue,36770,8.059938430786133
22, infra,48176,8.043769836425781
23, ISS,36396,8.022610664367676
24, DS,20578,8.014609336853027
25, tent,15632,7.984684467315674
26, imm,4893,7.983040809631348
27, bull,16811,7.980713844299316
28, */),89855,7.969898223876953
29, mist,8600,7.96052360534668
30, tess,79830,7.958983421325684
31, part,949,7.94252347946167
32, modulus,74024,7.930193901062012
33, sack,52333,7.907674312591553
34, warrant,7091,7.880329132080078
35, underline,51874,7.842678070068359
36, ';',81954,7.831573486328125
37, wise,23335,7.824914932250977
38, inf,4132,7.80645227432251
39, fig,4144,7.8055195808410645
40, indexes,24953,7.805327415466309
41, DEA,74910,7.78647518157959
42, contr,6027,7.774925231933594
43, entail,85992,7.761996269226074
44, eighth,36377,7.755186080932617
45, reachable,68284,7.734134197235107
46, adverts,87725,7.731370449066162
47, third,4843,7.712632656097412
48, SF,23463,7.7009711265563965
49, theta,18526,7.696756839752197
50, inform,6051,7.691899299621582
