rank,token,token_id,mean_logit_increase
1, XYZ,71089,9.34138298034668
2, struct,2036,9.280941009521484
3,賢,119085,9.257560729980469
4, figure,7071,9.06770133972168
5, graph,4771,9.034708023071289
6, reach,5545,9.031367301940918
7, CSR,62976,8.929059028625488
8, funnel,60219,8.914300918579102
9, '.',24361,8.85136604309082
10, SOP,86507,8.850664138793945
11, RSA,45641,8.840014457702637
12, rever,35137,8.7958402633667
13, perhaps,8365,8.795096397399902
14,‧,144492,8.759394645690918
15, figures,12396,8.758593559265137
16, view,1651,8.712821006774902
17, suit,7781,8.640118598937988
18, hence,16085,8.636429786682129
19, ISS,36396,8.63226318359375
20, bull,16811,8.545511245727539
21, sack,52333,8.523883819580078
22, DS,20578,8.514410972595215
23, tess,79830,8.508204460144043
24, infra,48176,8.506871223449707
25, leading,6388,8.502995491027832
26, segue,36770,8.502925872802734
27, mist,8600,8.50190258026123
28," '-',",50349,8.482110023498535
29, */),89855,8.456768035888672
30, imm,4893,8.442728042602539
31, DEA,74910,8.406657218933105
32, warrant,7091,8.400522232055664
33, tent,15632,8.394960403442383
34, wise,23335,8.349346160888672
35, modulus,74024,8.317203521728516
36, adverts,87725,8.311505317687988
37, part,949,8.303484916687012
38, underline,51874,8.288228988647461
39, entail,85992,8.272156715393066
40, indexes,24953,8.268661499023438
41, refrain,57508,8.267928123474121
42, reachable,68284,8.241414070129395
43, inform,6051,8.238689422607422
44, inf,4132,8.223739624023438
45, %-,50953,8.2199125289917
46, eighth,36377,8.216329574584961
47, pig,23694,8.211413383483887
48, MSC,83513,8.211224555969238
49, SF,23463,8.208586692810059
50, .',43584,8.191272735595703
