rank,token,token_id,mean_logit_increase
1, struct,2036,8.537147521972656
2, XYZ,71089,8.48438549041748
3,賢,119085,8.401354789733887
4, figure,7071,8.363541603088379
5, '.',24361,8.281553268432617
6, graph,4771,8.198615074157715
7, reach,5545,8.170024871826172
8, perhaps,8365,8.108717918395996
9, funnel,60219,8.089944839477539
10, figures,12396,8.080171585083008
11, hence,16085,8.042223930358887
12, RSA,45641,7.983926773071289
13, CSR,62976,7.948428630828857
14, rever,35137,7.935844421386719
15, view,1651,7.908412933349609
16, SOP,86507,7.89016056060791
17, suit,7781,7.876457691192627
18," '-',",50349,7.831689834594727
19,‧,144492,7.799061298370361
20, infra,48176,7.780361652374268
21, leading,6388,7.75148868560791
22, mist,8600,7.728033542633057
23, imm,4893,7.7201690673828125
24, tess,79830,7.700283527374268
25, DS,20578,7.692749500274658
26, bull,16811,7.659773349761963
27, */),89855,7.646634101867676
28, segue,36770,7.646338939666748
29, inf,4132,7.635066032409668
30, ISS,36396,7.631773948669434
31, indexes,24953,7.613519668579102
32, part,949,7.604206562042236
33, warrant,7091,7.59935998916626
34, tent,15632,7.596182823181152
35, underline,51874,7.576131343841553
36, entail,85992,7.574317455291748
37, modulus,74024,7.573975563049316
38, ';',81954,7.546844959259033
39, wise,23335,7.537832736968994
40, third,4843,7.5169525146484375
41, sack,52333,7.516181945800781
42, eighth,36377,7.507364749908447
43, fig,4144,7.501298904418945
44, reachable,68284,7.4893975257873535
45, contr,6027,7.484651565551758
46, DEA,74910,7.467752456665039
47, pig,23694,7.465796947479248
48, similar,4428,7.454634666442871
49, ill,5862,7.427515506744385
50, node,2436,7.42041540145874
