rank,token,token_id,mean_logit_increase
1, XYZ,71089,9.148553848266602
2, struct,2036,9.116316795349121
3,賢,119085,9.089037895202637
4, figure,7071,8.88476276397705
5, graph,4771,8.86933422088623
6, '.',24361,8.7611083984375
7, reach,5545,8.752224922180176
8, funnel,60219,8.748259544372559
9, CSR,62976,8.712939262390137
10, SOP,86507,8.706016540527344
11, rever,35137,8.693263053894043
12, RSA,45641,8.691372871398926
13, figures,12396,8.628620147705078
14, perhaps,8365,8.614924430847168
15,‧,144492,8.597211837768555
16, view,1651,8.55631160736084
17, hence,16085,8.533093452453613
18, ISS,36396,8.454710006713867
19, suit,7781,8.445304870605469
20, infra,48176,8.421305656433105
21, bull,16811,8.390312194824219
22," '-',",50349,8.374676704406738
23, */),89855,8.36263370513916
24, segue,36770,8.354157447814941
25, mist,8600,8.350754737854004
26, sack,52333,8.341470718383789
27, tess,79830,8.341127395629883
28, leading,6388,8.327865600585938
29, DS,20578,8.311257362365723
30, warrant,7091,8.300995826721191
31, imm,4893,8.26657485961914
32, DEA,74910,8.252715110778809
33, tent,15632,8.223175048828125
34, modulus,74024,8.177907943725586
35, part,949,8.152904510498047
36, wise,23335,8.147385597229004
37, refrain,57508,8.138273239135742
38, indexes,24953,8.132792472839355
39, entail,85992,8.125842094421387
40, adverts,87725,8.122720718383789
41, inf,4132,8.099112510681152
42, underline,51874,8.097760200500488
43, ';',81954,8.084392547607422
44, pig,23694,8.073125839233398
45, fig,4144,8.060131072998047
46, .',43584,8.057111740112305
47, %-,50953,8.050588607788086
48, SF,23463,8.022167205810547
49, inform,6051,8.022086143493652
50, eighth,36377,8.021986961364746
