rank,token,token_id,mean_logit_increase
1, struct,2036,8.280176162719727
2, XYZ,71089,8.237776756286621
3,賢,119085,8.163360595703125
4, figure,7071,8.108471870422363
5, '.',24361,8.084966659545898
6, reach,5545,7.9782395362854
7, graph,4771,7.955001354217529
8, figures,12396,7.87687873840332
9, funnel,60219,7.850395679473877
10, perhaps,8365,7.752516746520996
11, hence,16085,7.732026100158691
12, suit,7781,7.7241010665893555
13,‧,144492,7.698939323425293
14, rever,35137,7.695873260498047
15, CSR,62976,7.689468860626221
16, view,1651,7.6856231689453125
17, RSA,45641,7.685439586639404
18, SOP,86507,7.620941638946533
19," '-',",50349,7.588618278503418
20, mist,8600,7.563991069793701
21, leading,6388,7.5490312576293945
22, infra,48176,7.510735034942627
23, imm,4893,7.505438327789307
24, tess,79830,7.487930774688721
25, inf,4132,7.4301323890686035
26, bull,16811,7.429434776306152
27, DS,20578,7.429341793060303
28, ISS,36396,7.422786235809326
29, tent,15632,7.4051289558410645
30, warrant,7091,7.402669906616211
31, indexes,24953,7.401691436767578
32, */),89855,7.395418167114258
33, underline,51874,7.346123218536377
34, eighth,36377,7.343521595001221
35, entail,85992,7.323785781860352
36, third,4843,7.312070369720459
37, segue,36770,7.309096813201904
38, part,949,7.291731834411621
39, ';',81954,7.288614749908447
40, sack,52333,7.287337303161621
41, similar,4428,7.286949157714844
42, fig,4144,7.271503925323486
43, lead,2990,7.270195960998535
44, wise,23335,7.266205787658691
45, modulus,74024,7.257317066192627
46, .',43584,7.252281665802002
47, sag,29711,7.243083953857422
48, reachable,68284,7.232674598693848
49, eight,8063,7.228343963623047
50, ill,5862,7.2197771072387695
