rank,token,token_id,mean_logit_increase
1, struct,2036,8.563232421875
2, XYZ,71089,8.556717872619629
3,賢,119085,8.393627166748047
4, figure,7071,8.376249313354492
5, '.',24361,8.316944122314453
6, graph,4771,8.279508590698242
7, reach,5545,8.263623237609863
8, figures,12396,8.10197925567627
9, funnel,60219,8.097250938415527
10, perhaps,8365,8.036551475524902
11,‧,144492,8.01875114440918
12, suit,7781,7.969576358795166
13, CSR,62976,7.9636969566345215
14, rever,35137,7.95539665222168
15, hence,16085,7.9397125244140625
16, mist,8600,7.922450065612793
17, RSA,45641,7.882617950439453
18, leading,6388,7.858118534088135
19," '-',",50349,7.816018581390381
20, SOP,86507,7.801275730133057
21, view,1651,7.798171043395996
22, imm,4893,7.752976417541504
23, tent,15632,7.751416206359863
24, bull,16811,7.703548431396484
25, inf,4132,7.696276664733887
26, infra,48176,7.670202255249023
27, tess,79830,7.670034408569336
28, DS,20578,7.654587268829346
29, ISS,36396,7.6265482902526855
30, warrant,7091,7.618220329284668
31, underline,51874,7.611563205718994
32, eighth,36377,7.6052021980285645
33, part,949,7.6051812171936035
34, lead,2990,7.5672287940979
35, ill,5862,7.551625728607178
36, segue,36770,7.541619300842285
37, */),89855,7.540368556976318
38, entail,85992,7.530810832977295
39, eight,8063,7.5230326652526855
40, indexes,24953,7.514663219451904
41, fig,4144,7.508922100067139
42, reachable,68284,7.508324146270752
43, .',43584,7.506051540374756
44, third,4843,7.499194622039795
45, legend,13016,7.495769500732422
46, wise,23335,7.488539218902588
47, sack,52333,7.484315395355225
48, modulus,74024,7.47511100769043
49, ';',81954,7.460297584533691
50, sag,29711,7.444982051849365
