rank,token,token_id,mean_logit_increase
1, reach,5545,8.32921314239502
2, XYZ,71089,8.315421104431152
3,賢,119085,8.214221000671387
4, RSA,45641,8.080528259277344
5, ISS,36396,7.9421844482421875
6, infra,48176,7.854908466339111
7, '.',24361,7.849878787994385
8, figure,7071,7.806408882141113
9, SOP,86507,7.794456958770752
10, figures,12396,7.772090911865234
11,‧,144492,7.767714977264404
12, CSR,62976,7.743410110473633
13, hence,16085,7.71927547454834
14, struct,2036,7.661004066467285
15, rever,35137,7.584037780761719
16, regress,69780,7.54877233505249
17, entail,85992,7.547111988067627
18, tess,79830,7.540681838989258
19, suit,7781,7.536949157714844
20, funnel,60219,7.5163350105285645
21, rather,4751,7.496621131896973
22, sack,52333,7.483566761016846
23, imm,4893,7.482196807861328
24, view,1651,7.472979545593262
25, refrain,57508,7.4427900314331055
26, insider,54365,7.422834396362305
27, inform,6051,7.41951847076416
28, legitimate,22745,7.392232418060303
29, outbound,73795,7.386013507843018
30, third,4843,7.342903137207031
31, £,6938,7.335940361022949
32, advise,31013,7.331442356109619
33, mist,8600,7.329602241516113
34, SA,16589,7.324027061462402
35, bull,16811,7.305230140686035
36, warrant,7091,7.295916557312012
37, reachable,68284,7.292830944061279
38, IBM,27922,7.274477005004883
39, eighth,36377,7.268200874328613
40, graph,4771,7.250144958496094
41, ✓,52375,7.2491888999938965
42, SF,23463,7.247090816497803
43, wise,23335,7.246038913726807
44, rigor,77377,7.243847846984863
45, leading,6388,7.212878704071045
46, possess,15218,7.2128729820251465
47, DS,20578,7.210597038269043
48," '-',",50349,7.209441184997559
49, ■,49450,7.2071533203125
50, circum,10198,7.202780246734619
