rank,token,token_id,mean_logit_increase
1, XYZ,71089,9.290706634521484
2,賢,119085,9.236753463745117
3, struct,2036,9.060832023620605
4, '.',24361,9.046592712402344
5, reach,5545,9.029397964477539
6, RSA,45641,8.890320777893066
7, infra,48176,8.754335403442383
8, CSR,62976,8.73349380493164
9,‧,144492,8.72139835357666
10, figure,7071,8.68678092956543
11, hence,16085,8.685848236083984
12, figures,12396,8.585790634155273
13, SOP,86507,8.547317504882812
14, rever,35137,8.471933364868164
15, imm,4893,8.469968795776367
16, ISS,36396,8.463882446289062
17, tess,79830,8.449858665466309
18, graph,4771,8.445374488830566
19, funnel,60219,8.432879447937012
20, mist,8600,8.411605834960938
21," '-',",50349,8.367236137390137
22, view,1651,8.36201000213623
23, entail,85992,8.360614776611328
24, eighth,36377,8.355347633361816
25, suit,7781,8.354362487792969
26, DS,20578,8.333749771118164
27, bull,16811,8.319302558898926
28, regress,69780,8.311429023742676
29, inf,4132,8.307622909545898
30, perhaps,8365,8.304306030273438
31, warrant,7091,8.301904678344727
32, reachable,68284,8.289094924926758
33, refrain,57508,8.248335838317871
34, leading,6388,8.231101036071777
35, third,4843,8.228062629699707
36, adverts,87725,8.221405982971191
37, */),89855,8.208945274353027
38, Rihanna,95427,8.176557540893555
39, £,6938,8.168951034545898
40, sack,52333,8.157618522644043
41, ';',81954,8.129491806030273
42, SA,16589,8.12120532989502
43, wise,23335,8.087079048156738
44, indexes,24953,8.083491325378418
45, segue,36770,8.080384254455566
46, underline,51874,8.077507972717285
47, ill,5862,8.074356079101562
48, habit,14132,8.067366600036621
49, .',43584,8.057623863220215
50, inform,6051,8.056902885437012
