rank,token,token_id,mean_logit_increase
1, struct,2036,8.862638473510742
2, XYZ,71089,8.709299087524414
3,賢,119085,8.665149688720703
4, figure,7071,8.610238075256348
5, perhaps,8365,8.517351150512695
6, graph,4771,8.443886756896973
7, '.',24361,8.42711067199707
8, hence,16085,8.380187034606934
9, reach,5545,8.346467018127441
10, funnel,60219,8.321602821350098
11, figures,12396,8.247086524963379
12, CSR,62976,8.184893608093262
13, rever,35137,8.17677116394043
14, SOP,86507,8.15243148803711
15, RSA,45641,8.14095687866211
16, view,1651,8.126673698425293
17, suit,7781,8.100686073303223
18, leading,6388,8.061164855957031
19," '-',",50349,8.033238410949707
20, segue,36770,7.993534088134766
21,‧,144492,7.963796138763428
22, infra,48176,7.956099987030029
23, tent,15632,7.933668613433838
24, DS,20578,7.927734375
25, part,949,7.927524089813232
26, imm,4893,7.924057483673096
27, bull,16811,7.90391731262207
28, ISS,36396,7.893655300140381
29, tess,79830,7.883728981018066
30, modulus,74024,7.882755279541016
31, mist,8600,7.876598834991455
32, */),89855,7.853644847869873
33, underline,51874,7.8180131912231445
34, warrant,7091,7.817198753356934
35, sack,52333,7.809907913208008
36, indexes,24953,7.802538871765137
37, inf,4132,7.778972148895264
38, wise,23335,7.771748065948486
39, ';',81954,7.759754180908203
40, fig,4144,7.749045372009277
41, entail,85992,7.7406005859375
42, contr,6027,7.72809362411499
43, eighth,36377,7.697254180908203
44, DEA,74910,7.681824684143066
45, reachable,68284,7.671700477600098
46, node,2436,7.664093017578125
47, third,4843,7.660043239593506
48, cube,23739,7.649709224700928
49, theta,18526,7.648890495300293
50, ill,5862,7.6442179679870605
