rank,token,token_id,mean_logit_increase
1, XYZ,71089,8.630544662475586
2, struct,2036,8.598372459411621
3,賢,119085,8.526094436645508
4, reach,5545,8.372851371765137
5, figure,7071,8.3431978225708
6, '.',24361,8.342856407165527
7, graph,4771,8.239985466003418
8, funnel,60219,8.169513702392578
9,‧,144492,8.136343002319336
10, figures,12396,8.087800979614258
11, perhaps,8365,8.041491508483887
12, rever,35137,8.033382415771484
13, mist,8600,8.032930374145508
14, suit,7781,8.023378372192383
15, CSR,62976,7.994734764099121
16, RSA,45641,7.979600429534912
17, hence,16085,7.927760124206543
18, leading,6388,7.92526912689209
19," '-',",50349,7.887468338012695
20, SOP,86507,7.859846115112305
21, view,1651,7.828514575958252
22, tent,15632,7.811425685882568
23, infra,48176,7.777420997619629
24, tess,79830,7.774521350860596
25, ISS,36396,7.751845836639404
26, imm,4893,7.745304584503174
27, warrant,7091,7.725277423858643
28, DS,20578,7.719264984130859
29, inf,4132,7.688992023468018
30, bull,16811,7.670375823974609
31, part,949,7.651866912841797
32, eighth,36377,7.623764514923096
33, */),89855,7.6202521324157715
34, segue,36770,7.612634658813477
35, lead,2990,7.609273433685303
36, entail,85992,7.60205602645874
37, eight,8063,7.601748943328857
38, reachable,68284,7.601245403289795
39, .',43584,7.597194194793701
40, underline,51874,7.5933122634887695
41, sack,52333,7.590331077575684
42, wise,23335,7.571288108825684
43, third,4843,7.569833755493164
44, ill,5862,7.565720558166504
45, legend,13016,7.555025577545166
46, indexes,24953,7.554925918579102
47, modulus,74024,7.5471954345703125
48, ???,51317,7.51422643661499
49, fig,4144,7.499939441680908
50, similar,4428,7.495797634124756
