rank,token,token_id,mean_logit_increase
1,‧,144492,12.155035972595215
2,賢,119085,11.926468849182129
3, XYZ,71089,11.89379596710205
4, reach,5545,11.76428508758545
5, CSR,62976,11.62260913848877
6, RSA,45641,11.615731239318848
7, struct,2036,11.531479835510254
8, funnel,60219,11.265105247497559
9, eighth,36377,11.2524995803833
10, '.',24361,11.224308013916016
11, ISS,36396,11.071701049804688
12, figure,7071,11.057869911193848
13, imm,4893,11.03532886505127
14, %-,50953,10.908854484558105
15, mist,8600,10.891495704650879
16, entail,85992,10.865394592285156
17, third,4843,10.805264472961426
18, graph,4771,10.796945571899414
19, eight,8063,10.788084030151367
20, reachable,68284,10.737045288085938
21, */),89855,10.734845161437988
22, #####,68684,10.733745574951172
23,    ,32045,10.723052024841309
24, SOP,86507,10.710606575012207
25, segue,36770,10.696697235107422
26,    ,19070,10.695728302001953
27, infra,48176,10.67172908782959
28, £,6938,10.66979694366455
29, inform,6051,10.664166450500488
30, Reach,49842,10.650712966918945
31, suit,7781,10.63785457611084
32, legitimate,22745,10.630756378173828
33, bull,16811,10.61555004119873
34, DS,20578,10.612003326416016
35, rever,35137,10.603635787963867
36," '-',",50349,10.601137161254883
37, inf,4132,10.599478721618652
38,➯,146854,10.593602180480957
39, harm,11428,10.592792510986328
40, view,1651,10.58971881866455
41, hence,16085,10.589035987854004
42, sector,10486,10.588865280151367
43, ’,17744,10.579084396362305
44, sack,52333,10.575165748596191
45, NPC,29717,10.554031372070312
46, adverts,87725,10.550622940063477
47, wise,23335,10.543164253234863
48, warrant,7091,10.541227340698242
49, leading,6388,10.536635398864746
50, insider,54365,10.527865409851074
