rank,token,token_id,mean_logit_increase
1,‧,144492,11.971064567565918
2, XYZ,71089,11.851323127746582
3,賢,119085,11.642117500305176
4, reach,5545,11.610363006591797
5, CSR,62976,11.316730499267578
6, RSA,45641,11.237324714660645
7, struct,2036,11.205307960510254
8, '.',24361,11.129552841186523
9, eighth,36377,11.016925811767578
10, figure,7071,11.014007568359375
11, imm,4893,11.004894256591797
12, funnel,60219,10.94304370880127
13, graph,4771,10.865978240966797
14, ISS,36396,10.865975379943848
15, mist,8600,10.825172424316406
16, %-,50953,10.713520050048828
17, Reach,49842,10.685036659240723
18, eight,8063,10.684438705444336
19, bull,16811,10.649853706359863
20, */),89855,10.631168365478516
21, #####,68684,10.564722061157227
22," '-',",50349,10.542630195617676
23, DS,20578,10.533456802368164
24,    ,19070,10.533129692077637
25, figures,12396,10.524989128112793
26, SOP,86507,10.52281379699707
27,➯,146854,10.504974365234375
28, .',43584,10.49199390411377
29, ???,51317,10.491601943969727
30,    ,32045,10.470392227172852
31, £,6938,10.468299865722656
32, third,4843,10.465282440185547
33, rever,35137,10.458775520324707
34, inf,4132,10.430893898010254
35, view,1651,10.417396545410156
36, adverts,87725,10.39022159576416
37, reachable,68284,10.387393951416016
38, legend,13016,10.380146026611328
39, suit,7781,10.377702713012695
40, harm,11428,10.36451244354248
41, NPC,29717,10.354930877685547
42, sector,10486,10.350981712341309
43, leading,6388,10.337727546691895
44, inform,6051,10.322739601135254
45, DEA,74910,10.319144248962402
46, sack,52333,10.308882713317871
47, MSC,83513,10.308624267578125
48, �,1683,10.307992935180664
49, Rihanna,95427,10.306214332580566
50, ’,17744,10.293758392333984
