rank,token,token_id,mean_logit_increase
1,‧,144492,11.425209045410156
2, XYZ,71089,11.16109561920166
3,賢,119085,11.079878807067871
4, reach,5545,11.030905723571777
5, CSR,62976,10.979626655578613
6, RSA,45641,10.795799255371094
7, struct,2036,10.593095779418945
8, funnel,60219,10.515812873840332
9, eighth,36377,10.473075866699219
10, ISS,36396,10.391545295715332
11, %-,50953,10.384316444396973
12, '.',24361,10.34077262878418
13, figure,7071,10.339868545532227
14, mist,8600,10.295145034790039
15, imm,4893,10.234735488891602
16, graph,4771,10.210601806640625
17, Reach,49842,10.210254669189453
18, eight,8063,10.183545112609863
19, */),89855,10.174947738647461
20, sack,52333,10.143343925476074
21, #####,68684,10.121173858642578
22, view,1651,10.118971824645996
23, ???,51317,10.110676765441895
24,➯,146854,10.072802543640137
25, SOP,86507,10.06977653503418
26, sector,10486,10.056697845458984
27,    ,32045,10.053776741027832
28, suit,7781,10.049750328063965
29, bull,16811,10.034509658813477
30, £,6938,10.031946182250977
31, third,4843,10.02540111541748
32, rever,35137,10.000859260559082
33, entail,85992,9.978436470031738
34,    ,19070,9.966608047485352
35, NPC,29717,9.96416187286377
36, reachable,68284,9.94941520690918
37, segue,36770,9.916891098022461
38, harm,11428,9.908842086791992
39, Rihanna,95427,9.907629013061523
40, inf,4132,9.878647804260254
41, adverts,87725,9.87291145324707
42, DS,20578,9.869327545166016
43, $$$,97700,9.86751937866211
44," '-',",50349,9.835200309753418
45, wise,23335,9.822532653808594
46, infra,48176,9.821807861328125
47, tess,79830,9.811701774597168
48, legitimate,22745,9.809697151184082
49, .',43584,9.804852485656738
50, legend,13016,9.800655364990234
