rank,token,token_id,mean_logit_increase
1, XYZ,71089,14.563036918640137
2, reach,5545,14.142094612121582
3, struct,2036,14.0611572265625
4,賢,119085,13.88477897644043
5,‧,144492,13.821539878845215
6, CSR,62976,13.791351318359375
7, RSA,45641,13.776411056518555
8, imm,4893,13.536703109741211
9, funnel,60219,13.414000511169434
10, '.',24361,13.338717460632324
11, eighth,36377,13.282608985900879
12, figure,7071,13.263819694519043
13, ISS,36396,13.093507766723633
14, legitimate,22745,13.05231761932373
15, leading,6388,13.024916648864746
16, mist,8600,13.014810562133789
17, harm,11428,12.980841636657715
18, DS,20578,12.94547176361084
19, segue,36770,12.939020156860352
20, third,4843,12.92764663696289
21, graph,4771,12.909915924072266
22, inform,6051,12.890761375427246
23, entail,85992,12.858270645141602
24, underline,51874,12.760845184326172
25, figures,12396,12.736567497253418
26, eight,8063,12.700166702270508
27, rever,35137,12.684535026550293
28, inf,4132,12.654672622680664
29, reachable,68284,12.653672218322754
30, bull,16811,12.6365385055542
31, SOP,86507,12.602575302124023
32, possess,15218,12.588958740234375
33, SA,16589,12.581917762756348
34, infra,48176,12.571298599243164
35, £,6938,12.567734718322754
36, NPC,29717,12.5521240234375
37, %-,50953,12.550827980041504
38, hence,16085,12.532187461853027
39, legitim,48197,12.519552230834961
40, lead,2990,12.507121086120605
41, perhaps,8365,12.480525970458984
42, IBM,27922,12.47649097442627
43, advise,31013,12.464241981506348
44, VIII,57233,12.464226722717285
45, cube,23739,12.458660125732422
46, suit,7781,12.44967269897461
47," '-',",50349,12.437167167663574
48,    ,19070,12.424505233764648
49, ’,17744,12.414464950561523
50, DEA,74910,12.391083717346191
